onset	duration	sample	value
0	n/a	0	boundary
68.972	0.002	34486	1
72.056	0.002	36028	180
72.746	0.002	36373	180
73.396	0.002	36698	180
74.076	0.002	37038	180
74.746	0.002	37373	180
75.446	0.002	37723	180
76.056	0.002	38028	180
76.676	0.002	38338	180
77.356	0.002	38678	180
78.026	0.002	39013	180
78.666	0.002	39333	180
79.276	0.002	39638	180
79.976	0.002	39988	180
80.586	0.002	40293	180
81.196	0.002	40598	180
81.876	0.002	40938	80
82.486	0.002	41243	80
83.096	0.002	41548	80
83.746	0.002	41873	80
84.366	0.002	42183	80
84.986	0.002	42493	80
85.676	0.002	42838	80
86.306	0.002	43153	80
86.926	0.002	43463	80
87.626	0.002	43813	80
88.316	0.002	44158	80
88.936	0.002	44468	70
89.546	0.002	44773	80
90.156	0.002	45078	80
90.826	0.002	45413	80
91.436	0.002	45718	80
92.116	0.002	46058	80
92.776	0.002	46388	70
93.416	0.002	46708	80
94.046	0.002	47023	80
94.686	0.002	47343	70
95.306	0.002	47653	80
95.946	0.002	47973	80
96.556	0.002	48278	70
97.196	0.002	48598	80
97.806	0.002	48903	80
98.406	0.002	49203	70
99.066	0.002	49533	80
99.716	0.002	49858	80
100.356	0.002	50178	70
101.006	0.002	50503	80
101.666	0.002	50833	80
102.276	0.002	51138	70
102.966	0.002	51483	80
103.626	0.002	51813	70
104.286	0.002	52143	80
104.946	0.002	52473	70
105.606	0.002	52803	80
106.266	0.002	53133	80
106.946	0.002	53473	70
107.556	0.002	53778	80
108.166	0.002	54083	80
108.866	0.002	54433	80
109.476	0.002	54738	80
110.116	0.002	55058	80
110.746	0.002	55373	80
111.376	0.002	55688	80
112.026	0.002	56013	80
112.686	0.002	56343	80
113.356	0.002	56678	80
114.036	0.002	57018	80
114.636	0.002	57318	80
115.266	0.002	57633	70
115.896	0.002	57948	80
116.566	0.002	58283	80
117.166	0.002	58583	80
117.796	0.002	58898	80
118.406	0.002	59203	70
119.086	0.002	59543	80
119.746	0.002	59873	70
120.436	0.002	60218	80
121.116	0.002	60558	80
121.786	0.002	60893	80
122.396	0.002	61198	80
123.086	0.002	61543	80
123.766	0.002	61883	80
124.436	0.002	62218	70
125.136	0.002	62568	80
125.786	0.002	62893	80
126.476	0.002	63238	80
127.086	0.002	63543	80
127.696	0.002	63848	80
128.336	0.002	64168	80
129.016	0.002	64508	80
129.686	0.002	64843	80
130.296	0.002	65148	70
130.986	0.002	65493	80
131.666	0.002	65833	70
132.366	0.002	66183	80
132.996	0.002	66498	80
133.606	0.002	66803	80
134.306	0.002	67153	80
134.926	0.002	67463	70
135.596	0.002	67798	80
136.286	0.002	68143	70
136.986	0.002	68493	80
137.646	0.002	68823	80
138.286	0.002	69143	80
138.956	0.002	69478	70
139.596	0.002	69798	80
140.286	0.002	70143	70
140.966	0.002	70483	80
141.596	0.002	70798	80
142.216	0.002	71108	80
142.906	0.002	71453	80
143.566	0.002	71783	80
144.176	0.002	72088	80
144.826	0.002	72413	70
145.436	0.002	72718	80
146.036	0.002	73018	80
146.646	0.002	73323	80
147.266	0.002	73633	80
147.936	0.002	73968	80
148.626	0.002	74313	80
149.286	0.002	74643	80
149.926	0.002	74963	80
150.576	0.002	75288	80
151.236	0.002	75618	80
151.886	0.002	75943	80
152.526	0.002	76263	80
153.216	0.002	76608	80
153.906	0.002	76953	80
154.546	0.002	77273	70
155.236	0.002	77618	80
155.836	0.002	77918	80
156.506	0.002	78253	70
157.156	0.002	78578	80
157.756	0.002	78878	80
158.426	0.002	79213	80
159.126	0.002	79563	80
159.796	0.002	79898	70
160.456	0.002	80228	80
161.146	0.002	80573	80
161.836	0.002	80918	80
162.446	0.002	81223	80
163.106	0.002	81553	70
163.796	0.002	81898	80
164.446	0.002	82223	70
165.086	0.002	82543	80
165.786	0.002	82893	80
166.476	0.002	83238	70
167.116	0.002	83558	80
167.806	0.002	83903	80
168.476	0.002	84238	80
169.116	0.002	84558	70
169.796	0.002	84898	80
170.496	0.002	85248	80
171.116	0.002	85558	80
171.776	0.002	85888	70
172.446	0.002	86223	80
173.116	0.002	86558	80
173.776	0.002	86888	80
174.386	0.002	87193	80
175.076	0.002	87538	80
175.746	0.002	87873	80
176.416	0.002	88208	80
177.096	0.002	88548	80
177.756	0.002	88878	80
178.436	0.002	89218	80
179.086	0.002	89543	80
179.696	0.002	89848	70
180.386	0.002	90193	80
181.066	0.002	90533	80
181.736	0.002	90868	70
182.356	0.002	91178	80
182.986	0.002	91493	80
183.606	0.002	91803	70
184.216	0.002	92108	80
184.826	0.002	92413	70
185.506	0.002	92753	80
186.206	0.002	93103	80
186.826	0.002	93413	80
187.516	0.002	93758	80
188.156	0.002	94078	80
188.826	0.002	94413	80
189.466	0.002	94733	80
190.146	0.002	95073	80
190.786	0.002	95393	80
191.386	0.002	95693	80
192.004	0.002	96002	70
192.664	0.002	96332	80
193.344	0.002	96672	80
194.024	0.002	97012	70
194.714	0.002	97357	80
195.314	0.002	97657	80
195.964	0.002	97982	80
196.574	0.002	98287	70
197.224	0.002	98612	80
197.824	0.002	98912	70
198.474	0.002	99237	80
199.084	0.002	99542	70
199.744	0.002	99872	80
200.394	0.002	100197	70
201.074	0.002	100537	80
201.734	0.002	100867	80
202.394	0.002	101197	80
203.064	0.002	101532	80
203.764	0.002	101882	80
204.454	0.002	102227	80
205.094	0.002	102547	80
205.704	0.002	102852	80
206.354	0.002	103177	70
207.044	0.002	103522	80
207.744	0.002	103872	80
208.434	0.002	104217	80
209.054	0.002	104527	80
209.674	0.002	104837	70
210.364	0.002	105182	80
211.054	0.002	105527	80
211.674	0.002	105837	80
212.304	0.002	106152	80
212.904	0.002	106452	80
213.534	0.002	106767	80
214.204	0.002	107102	80
214.824	0.002	107412	80
215.454	0.002	107727	80
216.154	0.002	108077	80
216.854	0.002	108427	80
217.554	0.002	108777	80
218.204	0.002	109102	80
218.896	0.002	109448	80
219.554	0.002	109777	70
220.234	0.002	110117	80
220.854	0.002	110427	80
221.474	0.002	110737	70
222.134	0.002	111067	80
222.764	0.002	111382	80
223.424	0.002	111712	70
224.034	0.002	112017	80
224.654	0.002	112327	80
225.304	0.002	112652	70
225.994	0.002	112997	80
226.644	0.002	113322	80
227.284	0.002	113642	80
227.904	0.002	113952	80
228.614	0.002	114307	70
229.234	0.002	114617	80
229.914	0.002	114957	80
230.594	0.002	115297	80
231.284	0.002	115642	80
231.944	0.002	115972	80
232.584	0.002	116292	70
233.264	0.002	116632	80
233.894	0.002	116947	70
234.514	0.002	117257	80
235.164	0.002	117582	80
235.854	0.002	117927	80
236.454	0.002	118227	80
237.104	0.002	118552	70
237.794	0.002	118897	80
238.494	0.002	119247	80
239.184	0.002	119592	80
239.804	0.002	119902	80
240.494	0.002	120247	70
241.144	0.002	120572	80
241.854	0.002	120927	80
