onset	duration	sample	value
0	n/a	0	boundary
0.166	0.002	83	180
0.846	0.002	423	180
1.466	0.002	733	180
2.156	0.002	1078	180
2.836	0.002	1418	180
3.476	0.002	1738	180
4.156	0.002	2078	180
4.776	0.002	2388	180
5.446	0.002	2723	180
6.056	0.002	3028	180
6.666	0.002	3333	180
7.356	0.002	3678	80
8.056	0.002	4028	80
8.726	0.002	4363	80
9.376	0.002	4688	80
9.996	0.002	4998	80
10.666	0.002	5333	80
11.346	0.002	5673	80
11.966	0.002	5983	80
12.576	0.002	6288	80
13.256	0.002	6628	80
13.946	0.002	6973	80
14.596	0.002	7298	80
15.246	0.002	7623	80
15.856	0.002	7928	80
16.506	0.002	8253	80
17.186	0.002	8593	70
17.856	0.002	8928	80
18.476	0.002	9238	70
19.126	0.002	9563	80
19.806	0.002	9903	80
20.466	0.002	10233	80
21.096	0.002	10548	80
21.766	0.002	10883	70
22.436	0.002	11218	80
23.136	0.002	11568	70
23.766	0.002	11883	80
24.466	0.002	12233	80
25.076	0.002	12538	80
25.706	0.002	12853	80
26.406	0.002	13203	80
27.066	0.002	13533	80
27.716	0.002	13858	80
28.346	0.002	14173	80
29.006	0.002	14503	70
29.636	0.002	14818	80
30.266	0.002	15133	80
30.926	0.002	15463	80
31.626	0.002	15813	80
32.256	0.002	16128	70
32.926	0.002	16463	80
33.606	0.002	16803	80
34.246	0.002	17123	80
34.946	0.002	17473	80
35.656	0.002	17828	80
36.266	0.002	18133	80
36.946	0.002	18473	80
37.606	0.002	18803	80
38.226	0.002	19113	70
38.916	0.002	19458	80
39.596	0.002	19798	70
40.256	0.002	20128	80
40.866	0.002	20433	80
41.516	0.002	20758	70
42.136	0.002	21068	80
42.746	0.002	21373	80
43.436	0.002	21718	80
44.086	0.002	22043	70
44.686	0.002	22343	80
45.346	0.002	22673	70
45.956	0.002	22978	80
46.616	0.002	23308	70
47.306	0.002	23653	80
47.986	0.002	23993	80
48.656	0.002	24328	70
49.276	0.002	24638	80
49.946	0.002	24973	80
50.556	0.002	25278	80
51.216	0.002	25608	80
51.906	0.002	25953	80
52.556	0.002	26278	70
53.246	0.002	26623	80
53.876	0.002	26938	80
54.496	0.002	27248	80
55.156	0.002	27578	70
55.836	0.002	27918	80
56.506	0.002	28253	80
57.106	0.002	28553	70
57.766	0.002	28883	80
58.394	0.002	29197	80
59.064	0.002	29532	70
59.724	0.002	29862	80
60.416	0.002	30208	80
61.014	0.002	30507	80
61.654	0.002	30827	70
62.294	0.002	31147	80
62.894	0.002	31447	80
63.554	0.002	31777	80
64.244	0.002	32122	80
64.894	0.002	32447	70
65.544	0.002	32772	80
66.204	0.002	33102	80
66.844	0.002	33422	80
67.454	0.002	33727	80
68.104	0.002	34052	80
68.794	0.002	34397	80
69.464	0.002	34732	80
70.134	0.002	35067	80
70.784	0.002	35392	70
71.454	0.002	35727	80
72.134	0.002	36067	70
72.834	0.002	36417	80
73.464	0.002	36732	80
74.114	0.002	37057	80
74.734	0.002	37367	80
75.414	0.002	37707	70
76.094	0.002	38047	80
76.764	0.002	38382	80
77.434	0.002	38717	80
78.044	0.002	39022	80
78.714	0.002	39357	80
79.314	0.002	39657	80
79.954	0.002	39977	70
80.604	0.002	40302	80
81.294	0.002	40647	80
81.936	0.002	40968	80
82.604	0.002	41302	70
83.274	0.002	41637	80
83.936	0.002	41968	80
84.584	0.002	42292	80
85.244	0.002	42622	80
85.924	0.002	42962	80
86.544	0.002	43272	80
87.154	0.002	43577	80
87.774	0.002	43887	80
88.454	0.002	44227	70
89.054	0.002	44527	80
89.704	0.002	44852	80
90.334	0.002	45167	80
90.974	0.002	45487	80
91.614	0.002	45807	80
92.284	0.002	46142	70
92.944	0.002	46472	80
93.624	0.002	46812	70
94.244	0.002	47122	80
94.914	0.002	47457	80
95.574	0.002	47787	70
96.204	0.002	48102	80
96.854	0.002	48427	70
97.494	0.002	48747	80
98.124	0.002	49062	70
98.734	0.002	49367	80
99.404	0.002	49702	80
100.074	0.002	50037	70
100.754	0.002	50377	80
101.444	0.002	50722	80
102.114	0.002	51057	80
102.754	0.002	51377	80
103.394	0.002	51697	80
103.994	0.002	51997	70
104.674	0.002	52337	80
105.304	0.002	52652	80
105.924	0.002	52962	80
106.594	0.002	53297	80
107.264	0.002	53632	70
107.954	0.002	53977	80
108.604	0.002	54302	80
109.234	0.002	54617	70
109.884	0.002	54942	80
110.564	0.002	55282	80
111.224	0.002	55612	80
111.844	0.002	55922	80
112.454	0.002	56227	80
113.144	0.002	56572	80
113.804	0.002	56902	80
114.494	0.002	57247	80
115.174	0.002	57587	80
115.794	0.002	57897	80
116.404	0.002	58202	80
117.104	0.002	58552	70
117.764	0.002	58882	80
118.414	0.002	59207	80
119.014	0.002	59507	80
119.644	0.002	59822	80
120.294	0.002	60147	80
120.954	0.002	60477	80
121.644	0.002	60822	80
